ID;title;descr;producer;type;stock;price;putondisplay;imageurl
101;Air max;With only a thin film separating your foot from the cushion, this shoe is the closest you can get to walking on air;Nike;Running shoes;140;177;false;https://drive.google.com/uc?id=1ZhWaFLP2NsYO9BaetIxQT2EAEodZ9n5Z
102;Performance Ultraboost;Famously fashionable and undeniably stylish, our Ultraboost sneakers are just as popular for day-to-day wear as they are for performance running;Adidas;Sneakers;100;200;false;https://drive.google.com/uc?id=1U041oOtIE1LDV1Q4VItQ5gDSyadrw-eo
103;Grand;These adidas tennis-inspired sneakers build on the classic silhouette while providing modern-day comfort;adidas;Court base;88;250;false;https://drive.google.com/uc?id=1U041oOtIE1LDV1Q4VItQ5gDSyadrw-eo
104;IGNITE;a new take on running. It fuses highly technical running features with the design mentality and attitude of modern streetwear;Puma;Gym shoes;66;100;false;https://drive.google.com/uc?id=1ZBRaOl9viFNWYokHHKpZ2koLR-OW0jnA
105;BLUE SHIRT;Classic blue shirt;BONOBOS;Classic;77;200;false;https://drive.google.com/uc?id=1rGdGQxS-5gPyxcLzX1GT3qCitxUjxqx2
106;Black Shorts;High waist black shorts;H&M;High-Waisted;20;40;false;https://drive.google.com/uc?id=1SuCnIl8ZaOCbF0vu9n4UMh-UyEDjeZ0l
107;Pink Skirt;Short, fitted skirt in a cotton weave with a low waist that has an adjustable strap and buckle at each side;H&M;Short;20;50;false;https://drive.google.com/uc?id=1cCwFmn0RdlzHODBONioy79UGWSdFsckC
108;White socks;Socks in a soft, fine-knit cotton blend;ZARA;Medium;50;15;false;https://drive.google.com/uc?id=1FIiTbcCI74P10Tq6ARNAae84zWbDc1CS
109;Scarf;Scarf in softly draped satin with a printed design;H&M;Satin;30;60;false;https://drive.google.com/uc?id=1OHRQrVSdYosPv-vMLe85yd0R4lxhA4L_
110;White Top;Blouse in an airy, woven linen and cotton blend. Round neckline with V-shaped opening and narrow ties at top;ZARA;Unlined;20;50;false;https://drive.google.com/uc?id=1WU7lukXfR4wvA6VTnNCyrK2WZrJu_yGg